Rio,Distribucion,Q_T_2,Q_T_5,Q_T_10,Q_T_25,Q_T_50,Q_T_100
6 Tributarios,Gumbel_Momentos,111.67150833369442,284.8683754391337,399.539771819604,544.4273851343067,651.9132935052485,758.6055428009331
6 Tributarios,Gumbel_MLE,113.40679740106644,207.05403549503177,269.05665562829245,347.39713053242673,405.51457007497845,463.20287956669154
6 Tributarios,Exponencial_1P,99.72211449758797,231.54757933352386,331.26969383111185,463.09515866704754,562.8172731646355,662.5393876622236
6 Tributarios,Exponencial_2P,103.26227302064534,224.516499013275,316.24178003392035,437.4960060265498,529.2212870471952,620.9465680678406
6 Tributarios,GEV_MLE,82.41910933662938,181.18118341560492,295.0783420525916,535.9589278998949,827.6287507564862,1268.6133455502938
Conchos,Gumbel_Momentos,58.859547713714115,148.72825087990793,208.2291521098113,283.4086985476254,339.1811807834402,394.5418477650793
Conchos,Gumbel_MLE,58.841127606608865,110.26705879057135,144.315499952275,187.3357956207552,219.25070851444318,250.92996670103506
Conchos,Exponencial_1P,52.37838258628455,121.6188380918531,173.99722067813767,243.2376761837061,295.6160587699907,347.9944413562753
Conchos,Exponencial_2P,54.440638101468,117.5230090283543,165.24298046315562,228.32535139004182,276.04532282484314,323.7652942596445
Conchos,GEV_MLE,40.55949843308507,97.04667921018341,166.98284005424077,325.31212215823666,529.5266478783417,855.7438387568791
Escondido,Gumbel_Momentos,4.124869463797707,11.804043219249525,16.88832443231464,23.31232722319061,28.07801946946285,32.80852259226335
Escondido,Gumbel_MLE,4.267589754303683,8.332101789231595,11.023162421215588,14.423324663590794,16.94575925181512,19.449568578988682
Escondido,Exponencial_1P,3.8486433927303185,8.936273220783145,12.784916613513463,17.872546441566282,21.7211898342966,25.569833227026923
Escondido,Exponencial_2P,3.8876161556217608,8.858869730400714,12.619477886022475,17.590731460801422,21.351339616423182,25.111947772044946
Escondido,GEV_MLE,2.744473283668181,7.308533566518111,13.157443426196743,26.84654294192534,45.05369831708906,74.92857366698448
Salado,Gumbel_Momentos,31.091600878151475,129.5800261789733,194.78793348877124,277.178297237512,338.30017567794494,398.9707397623267
Salado,Gumbel_MLE,34.53415506237098,73.43079104215842,99.18374856874979,131.72267867336487,155.86191583587132,179.82291266032627
Salado,Exponencial_1P,34.241804865244234,79.50700873626137,113.7488136015056,159.01401747252265,193.25582233776692,227.49762720301115
Salado,Exponencial_2P,34.63117899971067,78.73367590491219,112.09592690462287,156.1984238098243,189.560674809535,222.92292580924567
Salado,GEV_MLE,17.77033527748815,51.535412702763786,101.63347543848829,236.86589526958088,441.8798233373572,819.145929611273
San Diego,Gumbel_Momentos,12.029530488142353,28.507144996451323,39.416759565498836,53.20108649431792,63.427087650179345,73.57758161868992
San Diego,Gumbel_MLE,12.361773968103908,21.996950682792633,28.37627605230591,36.436570567949644,42.416157490052456,48.35159208094328
San Diego,Exponencial_1P,10.461462062901827,24.290762677450058,34.752224740351885,48.581525354900094,59.04298741780192,69.50444948070376
San Diego,Exponencial_2P,10.873156262317234,23.473100144934307,33.004589740584876,45.60453362320193,55.1360232188525,64.66751281450307
San Diego,GEV_MLE,9.820856497149556,20.610538300245256,31.54054649451364,51.979855745762556,74.03820821495272,104.22219294220196
San Rodrigo,Gumbel_Momentos,12.256953966961628,46.5529151610887,69.2598256616509,97.95006727396398,119.23412745365039,140.3610294739469
San Rodrigo,Gumbel_MLE,13.178474311070197,28.42808476193167,38.524653792790204,51.28169552876557,60.74559784413474,70.13962019036397
San Rodrigo,Exponencial_1P,12.91508729002345,29.987904026628144,42.902991316651594,59.97580805325626,72.89089534327971,85.80598263330317
San Rodrigo,Exponencial_2P,12.91508729002345,29.987904026628144,42.902991316651594,59.97580805325626,72.89089534327971,85.80598263330317
San Rodrigo,GEV_MLE,5.922663493140536,22.31956108636159,51.185666573237484,143.4818343432044,306.59880430673905,650.2683909369349
Vacas,Gumbel_Momentos,2.430390390807558,7.7227385034779115,11.226733456469741,15.65404036848546,18.938469549062408,22.1986470201296
Vacas,Gumbel_MLE,2.5248479029835806,5.0420788439249185,6.708704758319436,8.814491019296554,10.376683562316423,11.927341120817314
Vacas,Exponencial_1P,2.3665650170470522,5.49499380145914,7.861558818506193,10.989987602918276,13.356552619965328,15.723117637012383
Vacas,Exponencial_2P,2.4066866368944786,5.415308575532557,7.691243212427036,10.69986515106511,12.975799787959588,15.251734424854067
Vacas,GEV_MLE,1.5192668100324727,4.005875631627948,7.369500660017636,15.665276853067494,27.244222745486113,47.0616772605905
